Asunto,Reseña,Fecha,Calificación
Es ist einfach eine Frechheit!,Es ist einfach eine Frechheit!,2025-09-06,1
Reisezeit Miami-Wien 10h30,"Reisezeit Miami-Wien 10h30
Reisezeit Bahnhof Flughafen Wien - Linz HBF 6h 30

Die ÖBB hat sich wie immer von der besten Seite gezeigt. Jedes Mal wieder wird man motiviert einfach das Auto zu nehmen oder vielleicht sogar das Rad. Weil wirklich alles funktioniert besser als dieser Arschverein. So viel Inkompetenz und schlechte Arbeit kann man gar nicht mit Worten beschreiben. Danke für Nix,ÖBB! Danke für nix!",2025-09-06,1
Zug zum Flughafen verspätet,"Zug zum Flughafen verspätet,
nach 30 min. fluchtartig den Bahnhof verlassen und mit Auto gefahren, sonst hätten wir den Flug versäumt.
Geld für Zug weg, Benzin verfahren und Stress ohne Ende!
Danke ÖBB
Nächstes Mal gleich mit dem Auto, das ist fix.",2025-09-06,1
Zug wurde 2x gecancelt & die Ersatzzüge…,"Zug wurde 2x gecancelt & die Ersatzzüge wurden auch alle gecancelt. Stecken am Bhf Wien Flughafen fest.
Schmutz.",2025-09-05,1
Bei Buchungen online Chaos,"Bei Buchungen online Chaos!
Das Procedere für Rückerstattung mühsam, sodass man letztendlich darauf verzichtet.
Sitzplatzreservierungen doppelt? Platz bereits besetzt -ebefallsmit Reservierung.
Verwirrung auf Grund ständiger Online Benachrichtigungen, z.b. zusteigen in gebuchten Zug nicht möglich, obwohl man gerade in diesen Zug eingestiegen ist.
Werde zukünftig Reisen mit der ÖBB vermeiden.",2025-09-04,1
Leider kann ich keine Minussterne vergeben,"Die ÖBB haben auf der Franz Josef Bahnstrecke genau 3 Tage wieder Normalbetrieb. Was passiert? Heute in Tulln wieder ein Komplettausfall des 07:03 Zuges!!!!!
Dieser Verein kriegt wirklich überhaupt nichts auf die Reihe!
Das ist einfach Diebstahl von Lebenszeit was die ÖBB hier regelmäßig betreiben.
Entweder die Züge fahren einem direkt vor der Nase davon, oder sie fallen komplett aus.

Ich bin echt froh wenn ich auf die bald nicht mehr angewiesen bin.............",2025-09-03,1
Vorteilscard Kündigung !,"Ich habe die Vorteilscard seit 2024. Als ich überprüfen wollte, wie lange sie noch gültig ist, war mein Konto leer. Deshalb habe ich eine neue Karte für das nächste Jahr gekauft. Nach zwei Tagen stellte ich fest, dass ich zwei Karten habe, die sich zwei Monate lang überschneiden. Ich wollte die Ich habe die Vorteilscard seit 2024. Als ich überprüfen wollte, wie lange sie noch gültig ist, war mein Konto leer. Deshalb habe ich eine neue Karte für das nächste Jahr gekauft. Nach zwei Tagen stellte ich fest, dass ich zwei Karten habe, die sich zwei Monate lang überschneiden. Ich wollte die Gültigkeit der Karte nur um diese zwei Monate verschieben, aber das ist leider nicht möglich. Ich muss sie kündigen und eine neue kaufen. Damit das Geld auf mein Konto zurücküberwiesen wird, muss ich 15,90 € bezahlen, was ich für absolut unkorrekt halte. Es ist logisch, dass es sich für mich nicht lohnt, für diese zwei Monate zusätzlich zu bezahlen, da ich bereits doppelt dafür bezahlt habe. Liebe ÖBB! So geht man nicht mit seinen Kunden um. Mehr Flexibilität wäre angebracht.",2025-09-02,1
Our night train from Brussels to Vienna…,Our night train from Brussels to Vienna on 29.08.25 was cancelled without any previous warnings. We were stranded in evening in Brussels with our small child. I would advise not to use services from öbb.,2025-09-02,1
Steuergeldverschwendung,"Erster Tag nach der 2 monatigen Sommersperre unfähig pünktlich einzutreffen, danach endet der Zug direkt aufgrund einer technischen Störung in Floridsdorf..
Der Folgezug war ganz voll, Klima funktionierte nicht und er fährt gemütlich mit 20 kmh von einer Station zur nächsten!! Einfach nur eine Zumutung und Steuergeldverschwendung wofür haben sie 2 Monate Sommerpause wenn am ersten Tag nichts funktioniert, einfach eine Frechheit!!!",2025-09-01,1
Wenn ich könnte 0 Sterne,"Wenn ich könnte 0 Sterne
Die Öbb ist sowas von unzuverlässig und schlecht das Ärger nicht geht. Alte Züge was schon schrottreif sind das das noch erlaubt ist 🙈 aber Hauptsache die werden immer teurer für was bitte",2025-09-01,1
Das Management bei Problemen ist…,Das Management bei Problemen ist einfach schlicht schlecht.,2025-09-01,1
IMMER Verspätung es ist einfach…,"IMMER Verspätung es ist einfach unglaublich und dann sagen alle wir sollen mit den öffentlichen Verkehrsmitteln fahren, um umweltfreundlicher zu sein.
Unverschämt",2025-08-28,1
Keine Kulanz bei versehentlicher Doppel-Bestellung,"Habe versehentlich mein Ticket doppelt gekauft, allerdings nur 1 Ticket bezogen und verwendet. Beim Kundenservice gab es keinerlei Kulanz oder Anzeichen einer Rückerstattung. In Zeiten von Kundenzentrierung und Customer Experience eine ziemlich peinliche Performance.
Liebe ÖBB, das geht deutlich besser!",2025-08-28,1
Abwicklung einer Anfrage,"Ich bin über die Abwicklung eines Problems bzgl. Hinterlegung einer Ermäßigung in meinem Kundenkonto doch einigermaßen BEFREMDET:
Nach 2-3 ergebnislosen E-Mailkontakten wurde die Angelegenheit mit der Nachricht „ zu ihrer E-Mail-Adresse gibt es kein Konto“ beendet!
Auf meine Erwiderung, dass ich mit diesem Konto, das es ja laut Kundenservice „nicht gibt“, seit mindestens 10 Jahren oftmals Tickets gekauft habe wird einfach überhaupt nicht mehr geantwortet.
Eine interessante Art von Kundenservice…",2025-08-26,1
Würde gern null Sterne geben,"Würde gern null Sterne geben, aber das ist ja leider nicht möglich...🙄
Wollten einfach nur von Wien nach Hause, doch die Verspätung wächst und wächst jede Minute. Jetzt sind es schon 29 Minuten und noch immer keine Spur von dem sch**önen Zug!
Und das beste? Grund für die Verspätung sind, ich zitiere: ""Verzögerungen im Arbeitsablauf""
Was bitteschön will die ÖBB damit sagen?!
Wenn man sich wenigstens kreativere Ausreden ausdenken könnte, wenn man schon nichts auf die Reihe bringt...

Aber ja, wir lieben die ÖBB als öffentlichen-Verkehrs-Monopol...",2025-08-26,1
Enttäuschend,Bus fuhr an mir vorbei trotzdem ich im sichtfeld des fahrers war. Außerdem war der bus 3 minuten zu früh ohne anmerkungen in der app. Klare enttäuschung.,2025-08-25,1
Zug von Wien nach Wörgl,"Zug von Wien nach Wörgl. Personal sehr unfreundlich und arogant. Der Ton macht die Musik‼️ Familien Bereich ( Spaß beim Reisen) wie es fröhlich genannt wird, ist hier nicht der Fall. Schade. Hab ich noch nicht erlebt dass man so aufpraussend mit einen Fahrgast von oben herab spricht. Wie gesagt der Ton macht die Musik‼️",2025-08-24,1
Bad experience,"No aircon, completely overbooked and had to kick people out of our seats when they themselves had paid for seats too.

Also can’t get onto the wifi ( makes it much more excellent)

At least it’s the fastest line but certainly wasn’t a fan. Caught the train for 6.5hrs from Budapest to Munich (Hungary to sth Germany)",2025-08-24,1
Nur noch traurig,"Als Vielfahrer Wien/Innsbruck und retour, kann ich nur noch den Kopf schütteln, hab schon garkeine Kraft mehr die Verspätungsformulare der öbb auszufüllen, wenn man nach dem zuständigen Chef fragt, heißt es in Innsbruck, der sitzt in Wien, in Wien heißt es er sitzt in Salzburg und dort wieder in Innsbruck. Das Personal in den Zügen ist aber meist sehr bemüht und haben Nerven aus Stahl, Hut ab.",2025-08-22,1
Katastrophal,"Katastrophal, ich bin jetzt die letzten 7x auf dem weg zur Freundin (Vorarlberg-Attnang Puchheim) jedes mal mindestens 2 Stunden zu spät angekommen, der Verbindungszug geht sich nur in seltenen fällen aus und der Service ist schrecklich. 0 Sterne wenn möglich",2025-08-21,1
fühlt sich nicht nach 2025 an,"Katastrophe, Stunden zu spät ganzen tag verschwendet. Passiert jedes mal für das Geld eine frechheit und eine Entschuldigung gibts auch nicht. Leider gehen 0 sterne nicht wäre aber angemessener",2025-08-21,1
Unkorrinierte Frechheit,"Schienenersatzverkehr zwischen Mittenwald und Seefeld um 10:30 Uhr, wird man vom netten Busfahrer mit dem Radl Anhänger auf einen anderen Bus verwiesen, da er nur Radlfahrer mitnimmt.
Dadurch habe ich meinen Anschluß Bus nach Leutasch verpasst. Es gibt echt super Busfahrer, die einen lassen die Radlfahrer stehen weil sie keinen Vorrichtung für das Radl haben , obwohl der Bus leer ist und der andere lässt die Fußgänger stehen, da er einen Radl Anhänger am Bus hat und trotzdem die gleiche Strecke fährt. 3 Busse von Mittenwald nach Seefeld zur gleichen Uhrzeit, einer ist fast voll und zwei leer und meiner schafft es nicht nach Fahrplan.
Seit der Umbau Maßnahmen und den dafür eingesetzten SEV, gehen der ÖBB bestimmt zig Tausende Euro an Umsatz verloren, da keiner der SEV-Busfahrer nach dem Fahrschein fragt.
Am Ende trägt es dann wieder die einheimische Bevölkerung aus und bekommt die Fahrpreis Erhöhung aufgehalst. Der Steuerzahler zahlt halt wieder für die Unfähigkeit der ÖBB.",2025-08-21,1
Meistens wurde ich o pukte geben .das…,Meistens wurde ich o pukte geben .das ist keine service .kunde dienst frech und arogant .keine informatione .ich buche per obb nie mehr meine reise.,2025-08-21,1
Immer nur Verspätung verpasse deswegen…,Immer nur Verspätung verpasse deswegen immer mein bus heim Schei*** Wien nur deswegen Verspätung und wegen Störungen der Züge,2025-08-20,1
Nightjet,"Nightjet - 12h - bisher keine klima - dauerhafte 30°C+ - kein strom - toiletten haben schon auf der hinfahrt in unserem wagon nicht funktioniert klopapier gabs in der im anderen wagon auch nicht - außerdem wurde während der hinreeise versucht zu klauen deshalb wollen wir das gepäck gerne in unserer ""sitzreihe"" verstauen dafür gibt es jedoch nicht genug platz - der boden klebt und sonderlich geputzt wird hier auch nicht",2025-08-19,1
horrible experience,"First the train had 1,5h delay, its supposed to be a night train but its not any different from a normal train, the seats are small and the ac was turned on the full volume, which was highly uncomfortable. Then we got awakened by the police, which checked our IDs after midnight. Throughout the journey the train gathered 7 hours of delay in total, we got almost zero information, and if we did then it was in german (which we dont understand), the radio that announced the information was very quiet. We couldnt even buy food because of the confusing information from the employees. Then right before our stop (Amsterdam) we got announced that the train wont continue any further, no help from the staff, we got zero explanation, they just told us to leave and didnt offer any alternative on how to get to our destination.",2025-08-19,1
kein drucker dabei,"kein drucker dabei, konnten unseren kaffe nicht genießen, flieger verpasst!",2025-08-18,1
Bin auf der Heimfahrt von Zürich nach…,"Bin auf der Heimfahrt von Zürich nach St.Pölten. Der Zug war in Zürich bereits vollgepackt. Es herrscht ein totales Chaos, es steigen bei jeder Station Leute zu, sitzen, wie immer im Speisewagen und am Gang. Man kommt nicht mal zu den Toiletten durch. Kein privater Busbetreiber dürfte sich erlauben mit so einem überfüllten Fahrzeug Leute zu transportieren",2025-08-18,1
Knopf funktionierte nicht,"Bin mit zug gefahre und wollte aussteigen aber der knopf funktionierte nicht. Wurde bei der rückfahrt nach einem ticket gefragt das ich natürlich nicht hatte, da ich bei meiner halte stelle nicht aussteigen konnte und einen ersatz zug brauchte. Eine frechheit.",2025-08-18,1
Zug von Salzburg nach Klagenfurt,"Zug von Salzburg nach Klagenfurt, für diesen Preis eine Katastrophe. 1.Klasse, Abteil total verdreckt, wurde sicher schon lange nicht gereinigt, kein Bordservice, kein WLAN und der Schaffner riecht extrem nach Schweiß, sodass man es nach der Ticketkontrolle im Abteil kaum aushält, lüften nicht möglich. Vielleicht kann hier etwas geändert werden, wo sind die Kontrollorgane?? Warum kann ein Schaffner, der wirklich nicht überbeschäftigt ist, sich nicht darum kümmern, dass eine Reinigung erfolgt??
Wirklich eine Zumutung!!!",2025-08-17,1
Viel zu wenig Kapazität bei starken Reisetagen,Viel zu wenig Platz - Zug ist immer überfüllt. Viel zu wenig Kapazität. Sehr schlecht.,2025-08-17,1
Dear OEBB,"Dear OEBB, traveling with your company was hell. I purchased first class tickets, no transfer, for me and my 5yo kid, aprox. one month before our trip to Terst. Two weeks before trip, you send me e-mail to inform me about some complications on track. So my brother in law, who is german native speaker, call your customer line to ask if I should cancel or rebook? Your employee inform us, its ok, maybe there will be part of the journey on bus or some delay.
So, we have to change from bus to train and back six times, nothing like the first class and it will take from Trieste to Wienna more than 20 hours!!! Your ""replacement bus servis for certain part of the trail"" (??) in reality means bus from Trieste Centrale to Sežana. Then change to train to Logatec. Then change to bus to Ljubljana. Where your replacement services collapsed. Nobody knows anything, no relevant infos. Your replacement bus from Logatec was delayed, so we can't catch the Wienna train and another train was replaced by bus to Kranje again, then we have to change again and go by train to Villach. Delayed 22 minutes, so we mised train to Wienna and have to wait on the train station for 7 hour (and counting)! Thru night, with 5yo kid. Thank you very much, really.
In fact I am writing this in Villach (1:52 a.m.), still waiting for train to Wienna. Currently more than hour delayed. With my kid trying to sleep on my lap. Maybe there is no train to Wienna, maybe we both are going to die here.

Wienna - Trieste with Flixbus 6:45. No transfer. Trieste - Wienna with OEBB: >21 hours, 5 transfers. And again, I bought first class ticket, without any changes of vehicles! And your employee told us, it's not big deal, maybe some part of the road by bus and that's it. Are you crazy or WTF?! Why don't you tell us, you are not able to provide in current conditions any service and give me money back, so we can travel by bus. Or maybe walk. It could be faster.",2025-08-16,1
It was terrible expirience,It was terrible expirience! Two trains from Munchen to Villach were canceled and we had to stay in Munchen for more than 9 hours. Than we have finally arrived in Villach and we had to sleepover in hotel that costs us 200€. They didn't give us any money back and we strongly recomend NOT to drive with OEBB trains.,2025-08-15,1
Über 6 Euro von Rattenberg nach Wörgl,"Über 6 Euro von Rattenberg nach Wörgl. Eunfach nur geisteskrank. Null Sterne, eigentlich kriminell.",2025-08-15,1
An und für sich bin ich mit der ÖBB…,"An und für sich bin ich mit der ÖBB zufrieden, fahre immer Sparschiene in die Schweiz. Preis passt, Pünktlichkeit ist gegeben. Aber wenn man den ganzen Tag unterwegs ist, würde man gerne auch mal essen. Dies ist leider im überfüllten Speisewagen nicht möglich. Die Leute reservieren nicht, sitzen dann im Speisewagen mit ihren Koffern, Stundenlang bei einem Kaffee. Auch eine Möglichkeit zu reisen und 3 Euro für die Platzreservierung sparen. Dürfte und sollte nicht sein",2025-08-14,1
Völlig daneben,"Strecke Tulln-Franz Josefs Bahnhof. Wieder mal ein ""supernetter"" Lockführer, der die Zugtür schliesst (vor meiner Nase) und abfährt. Das um 06:58 obwohl Abfahrt um 06:59 ist! Jetzt darf ich 30 Minuten auf den nächsten Zug warten und oh Wunder, ich höre grade der hat 5 Minuten Verspätung! Na Hauptsache der Zug davor ist eine Minute früher abgefahren! Ich hab so genug von diesem Verein!!!!! Der schlechte Ruf der ÖBB wird hier jeden Tag mit aller Kraft aufrechterhalten. Und dieses ""Zugestiegen"" kann ich auch schon nicht mehr hören. Wir sind im 21igsten Jahrhundert, warum brauchts da wen der bei allen Passagieren Tickets kontrolliert?! Das ist a) nur Beschäftigungstherapie und b) null Vertrauen in die Fahrgäste! Die Wiener Linien schaffen das mit Stichproben, ohne bei jeder Fahrt zu nerven!",2025-08-14,1
Immer zu spät,"Immer zu spät, absolut überteuert.
Eine absolute Schweinerei!",2025-08-13,1
Baustellenchaos in Wien,"Also das kann es jetzt bald echt nicht mehr sein. Nicht nur, dass jetzt eh alle Züge nur bis Praterstern fahren, schafft es die ÖBB nicht mal bis dort hin zu fahren!!
Schon das zweite Mal, dass in Wien Mitte Schluss ist (und die Durchsage erst kurz vor Wien Mitte kommt).
Aber immerhin sind die Baustellen zw. ÖBB und Wiener Linien perfekt abgestimmt, dass man nicht mal eine Ausweichmöglichkeit hat. Gratuliere!",2025-08-13,1
Eine echte Katastrophe!!!!,"Eine echte Katastrophe!!!!! Verspätung ***Verspätung *** Unfreundliches personal ***** , also wirklich nicht mal einen Stern wert !!!!!!!!!!!!!! Nie wieder ÖBB!!!!!",2025-08-13,1
Tempo ist kein Taschentuch,"Leider muss ich mich gezwungenermaßen mit der ÖBB fortbewegen. Jedes Mal, wenn ich mit dem Zug oder Bus der Österreichischen Bundesbahnen irgendwo hinfahren will, schafft es der Zug oder Bus, zu spät zu kommen. Genau so, dass ich meinen Anschlusszug verpasse. Zwei Minuten vor der Endhaltestelle, wo ich vom Schienenersatzverkehr zum nächsten Schienenersatzverkehr umsteigen sollte, fährt er mir provokant und eiskalt vor der Nase weg.",2025-08-13,1
Mal wieder Schienenersatzverkehr,Mal wieder Schienenersatzverkehr. wuhu,2025-08-12,1
Zuverlässigkeit,"Wir wollten heute mit eem ICE von Kassel nach Bremen fahren. Dieser ist ausgefallen. Jetzt ist es kompliziert das Geld für die Reservierung der 3 Plätze für den ausgefallenen Zug wiederzu be
kommen . Ich durfte bis Göttingen mit 2 Kindern stehen. Den Schaffner hat das nicht interessiert. Traurig, wie die Deutsche Bahn mit ihren Kunden umgeht. Eigentlich wäre es nicht mal einen Stern wert.",2025-08-12,1
Unmöglicher Kundenservice,"Ich habe dem Kundenservice telefonisch zwei einfache Fragen zum Fahrplan gestellt, auf die es nur ausweichende Antworten in einem extrem unfreundlichen Tonfall gab. Als Krönung hat der Mitarbeiter dann mitten im Gespräch einfach aufgelegt. Mit ´Service` hat das absolut Garnichts zutun!",2025-08-11,1
Less then helpful OBB,"Booked 2 tickets for a 6 hour journey from Vienna to Ljubljana, cost over $170euro.
The staff member did not once mention this does not actually reserve you a seat We understand the extra cost for that was approx $3 euro.
How ridiculous to sell tickets to a 6 hour journey without a seat , we only found out once we boarded and tried to work out where to seat only to be told we had no seats …and the staff were less then helpful, in fact rude and arrogant seems to be the preferred operator standard …
Buying a ticket ? Make sure you ask for a seat ….",2025-08-11,1
Dass nennt man Abzocke!,"Mein Sohn 12 Jahre alt, hat angeblich in einer Lokal Bahn die Schuhe kurz auf der Bank gehabt. Eine unfreundliche Zugbegleiterin wollte gleich beim Sohn (13!!!)die Zeche kassieren! Das ganze ging dann über die ÖBB und kostete jetzt über 200€ !!! Dass nennt man lausig! Die Eltern zahlen ja eh die Zeche! Danke ÖBB",2025-08-10,1
Zugverbindung ohne Umsteigen von Graz…,"Zugverbindung ohne Umsteigen von Graz nach Triest gebucht.
Ergebnis: 2x Schienenersatzverkehr angeblich wegen „Bauarbeiten“ (komisch-alle anderen Züge fuhren…)
Wartezeiten, Verspätungen, nervendes Warten bei 37 Grad
Vermutlich wurde der gebuchte Originalzug wohl eingespart…
Die Hinfahrt verlief ähnlich!",2025-08-10,1
Immer Verspätung,Ich fahr regelmäßig mit den Öffis und ich glaub ich bin noch nie rechtzeitig mit einem Zug an meinem Ziel angekommen!,2025-08-09,1
Ich bin schon mehrmals mit der ÖBB sehr…,"Ich bin schon mehrmals mit der ÖBB sehr lange Strecken gefahren und ehrlich gesagt hatte ich dabei kein einziges Mal ein wirklich positives Fahrerlebnis. Mal hat sich der Zug verspätet, mal ist er komplett ausgefallen, dann wieder war der Zug wegen technischer Mängel nicht fahrbereit, und und und. Einmal hat sich der Zug sogar während der Fahrt getrennt, und ich habe das erst viel zu spät erfahren, sodass ich keine Chance hatte darauf zu reagieren. Außerdem gab es häufig Probleme mit der Ansage unklare Informationen,überfüllte Waggons und teilweise auch unfreundliches Personal. Es fühlt sich an, als wäre man dort eher eine Last als ein Fahrgast. Nach all diesen Erfahrungen kann ich nur sagen Nie wieder fahre ich mit der ÖBB.",2025-08-09,1
16€ fürs Radl ba 15min Fahrzeit,"Do zoi i ernsthoft 16 Euro dafia, dasi mein oidn Drohtesel vo Lomboch noch Wels mitnim – 15 Minuten Fahrt! Doa foa i eh scho mit dem Lungenlähmer, der ma bei jedem Gegenwind fost de Wadln zfetzt, nur weil i ma denk: „Duasd am Klima wos Guads“. Und don haut ma de ÖBB a Radl-Ticket umd Ohrn, ois darad i an gonzn Wagon dazuahänga woin.

Woni des a Joa so durchziag, muas i mei linke Niern am indischen Schwoazmoakt vag‘frettn, nur dass de bladn Eisnbohna in da Kantin eanan Tofispitz am goidanen Teller kriagn.

Snächste moi trett i glei durch bis Wels. Bin schnölla, spoa ma a Göd und da oide Stahlbau schnurlt a wieda moi. Muasi nur aufpassn, dass ma in Wös don kan Feidl indn Bugi haun.

Oiso danke fia nix! Jetzt spuckt mei Gödtaschl mehr Staub ois de Weihnochtskeks im August. Nachhaltig san bei eich nur de Existenzängste, de ma durch eichane Preise kriagt.",2025-08-08,1
Unpünktlich,"Unpünktlich, unorganisiert, schlechtes Personal, große Verspätungen, keine Zuverlässigkeit.",2025-08-08,1
Clownsverein,"Nehme jedes Wochenende denselben zug. Zugteilung immer an der gleichen stelle. Passt perfekt weil ich sowieso dort raus muss. Plötzlich ohne Vorwarnung oder infos aus dem internet kommt es zu einer verfrühten Zugteilung. Okay kein problem, steig ich halt aus und nehm einen anderen zug. Nope, türen gehen nicht auf und personal meinte nur: „pech gehabt, falscher zug, türen bleiben zu.“ mindestens 30 Leute hatten so dank der öbb 3-4 stunden umweg vor sich. Danke dafür öbb, ihr seid die besten. /s",2025-08-08,1
0 Sterne Abzocke,"So nach dem Motto, wir haben eh keine Konkurrenz und machen was wir wollen.
Von Lienz nach Wien und Wien nach Lienz 258€ 1. Klasse für 2 Erwachsene und 1 Kleinkind.
Sitzplatzreservierung inklusive ausser mein Kind ist 5 Jahre, dann geht das nicht, erst ab 6 Jahre. Hier fängt es schon an. 3 Wochen zuvor gleiche Leistung 198€. 1 Woche danach ca. 400€. Wie eine Aktie.
Was aber versprochen bleibt ist die stätige bescheidene Leistung.
Verdreckte Sitze und Kopftuchauflagen
Kein WLAN
Alles alt
Kellner kam in 6 h bei Hinfahrt 1x
Kaffee hatt er noch keinen
Eine Schartnerbombe hätte er, aber nur Zitrone und ungekühlt.
Kartenzahlung ist bei allen Sachen billiger
Wer bar zahlt zahlt mehr.
50 Cent Pfand wird verrechnet und keiner kommt mehr, nichtmal nach Nachfrage des Schaffner.
Wahrscheinlich, dass er überhaupt noch ein Trinkgeld bekommt für seine kein Leistung
Aber egal. Ich lerne aus Fehlern...",2025-08-07,1
Wenn Sie regelmäßig zu spät kommen,"Wenn Sie regelmäßig zu spät kommen, viel zu viel Geld an eine Firma mit absurd mieser Organisation zahlen wollen, die regelmäßig Ihre Lebenszeit durch Herumstehen stiehlt sind Sie bei der ÖBB absolut richtig!
Keinen einzigen Tag schafft sie es mich (Pendler) ohne Verspätung oder Ausfall an mein Ziel zu bringen. Schade, dass es hier im Bewertungssystem keine Minuspunkte gibt!",2025-08-07,1
schlechtes Personal,,2025-08-07,1
Teuer - Unzuverlässig - Inkompetent,"Teuer, unzuverlässig, ständig Ausfälle und Verspätungen, oftmals äußerst unfreundlich. ÖBB Scotty zeigt Verspätungen und Ausfälle viel zu spät an, oft erst nachdem der Zug bereits abfahren sollte. Durchsagen am Bahnsteig bezüglich Verspätungen und Ausfälle erfolgen ebenso oft erst nach der regulären Fahrzeit. Schienenersatzverkehr auf der Oststrecke ist eine totale Zumutung. Der Bahnhof Strasshof Silberwald wird viel zu selten angefahren. Auch bei Ausfällen machen andere Züge dennoch nicht in Strasshof Silberwald Halt. Es ist völlig chaotisch.",2025-08-05,1
Schienenersatzverkehr,Schienenersatzverkehr? 3x Umsteigen Fahrzeit 3x so lang wie mit Zug,2025-08-05,1
Leider schafft es die Öbb nicht Wenn…,Leider schafft es die Öbb nicht Wenn man 2 Monate vorher für Fahrrad bucht den Sitzplatz in der Nähe des Fahrrades zu Reservieren. Sitzplatzreservierung ist also vollkommen unnütz wenn man dann das Gepäck durch den halben Zug schleppen muss. Nie wieder. Öbb ist nicht für Fahrrad-Zugreisen geeignet.,2025-08-03,1
0 Sterne,"0 Sterne
inkompetent, unpünktlich, nutzlos, unhöflich
schlimmer als die DB aber anscheinend eine Pünktlichkeitsrate von 94%. 100% gelogen.
Gefühlt jeder Zug hat mindestens 1 Stunde Verspätung, aber dann wollen sie über 1000€ für das Klimaticket. Ich wechsle wieder zum Auto, ist billiger und zuverlässiger.",2025-08-03,1
Servizio terribile,"Servizio terribile, le stazioni sono fatte malissimo, non c’è nessun avviso sui bus sostitutivi alla stazione di partenza se non in tedesco quando sei già sul treno e nemmeno con la traduzione in inglese. Dicono sempre dell’Italia, ma io rimpiango seriamente Trenitalia: un servizio molto più serio.",2025-08-02,1
Im Zug von Zürich nach Graz ist alles…,Im Zug von Zürich nach Graz ist alles ungepflegt. Nichts richtiges zu essen. Die WCs sind fast alle kaputt. Der Service sehr schlecht. Viel zu wenig Sitzplätze. Es ist sehr oft Eiskalt im Zug und wenn man was sagt wird nichts dagegen gemacht.,2025-08-01,1
Gratuliere für die tolle Leistung einen…,"Gratuliere für die tolle Leistung einen leeren Zug kurz vor 23 Uhr in 5 Halten um 5 Minuten grundlos zu verspäten um dann festzustellen dass der Anschlußzug 22:54 schon um 22:53 weg ist und nichtmal mehr zu sehen ist! Lernt vielleicht mal eure eigenen Uhren zu lesen anstatt alle Jahre die Preise zu erhöhen, das wäre die Basisqualifikation bei euren eindeutig überberzahlten Jobs?
Danke ich stehe täglich um 3:15 Uhr auf und ihr habt mir wieder eine Stunde Schlaf gestohlen.",2025-08-01,1
Nerven sparen Auto fahren,"Größter Drecksverein, ein rail Jet hat 10 min Verspätung, der cityjet für die Weiterfahrt wartet 15 min lange wenn der normale Regionalzug 1 min vor der Abfahrt des Cityjets ankommt wartet er nicht mal bis die Leute umsteigen können, kann mir wer den Sinn dahinter erklären? Weil es ist nicht das erste Mal das es so gekommen ist
Hab dadurch jetzt 1 1/2 Stunden am Bahnhof verbracht und noch durch zusätzliche Verspätungen insgesamt für eine Strecke die normalerweise 1 Stunde dauert 3 Stunden gebraucht
Am besten man fährt einfach mit dem Auto ist günstiger, schneller und zuverlässiger als dieser Huans Verein, hoffe das bald mehr Leute wieder aufs Auto umsteigen",2025-07-30,1
Nach 30 Minuten in der Warteschleife…,"Nach 30 Minuten in der Warteschleife hab ich aufgegeben. Es wäre nicht schlecht wenn die ÖBB einen Rückruf anbieten würde . In der heutigen Zeit mit automatischer Rückruf Technologie kein Problem.
Aber so wird das nix liebe Bundesbahn.
no go",2025-07-29,1
"They will fine you, stay away!","This company is a total fraud! As much as possible stay away from them. I paid for tickets in a machine in Vienna for a trip to Bratislava. The conductor/ticket controller claimed it to be unvalid, and forced me to pay a fine for 105 €. The machine unfortunately have bad translations from German to English, so one of my tickets were a discount ticket to a card I don’t hold instead of a «Comfort» ticket which I thought was better seats. I offered to pay the difference, but the angry man refused to listen and to execute good judgment of the situation. The customer service just said it’s important to treat all customers fairly, so therefore they will not give refunds, and that this would be their final answer to my case.
Unless you want a extra cost for 105€, choose another transportation company.",2025-07-29,1
Ticketkontrolleurin im Zug,"Ich fasse es kurz. Ein Kontrolleur im Zug hat mir gesagt, dass meine Jahreskarte nicht gültig wäre, obwohl ich ihr gezeigt habe, dass alle Daten auf dem Screenshot stehen. Sie hat es nicht mal angeschaut, nicht mal gelesen und hat mich bedroht. Meine Karte bzw. Screenshot würde nur eine Rechnung sein. Nein, ist es nicht! Ich habe ihr angeboten, mit ihrem Handy meinen Bildschirm abzufotografieren, sie lehnte ab und hat mich stattdessen blöd angemacht vor anderen Fahrgästen, als ob ich es nötig hätte, sie anzülügen. Ich stand als Lügnerin da, als ich aussteigen musste. Das akzeptiere ich nicht. Sie sollten Ihren Zugkontrolleuren beibringen, dass sie den Fahrgästen richtig zuhören sollen. Und dass man mich gleich bedroht mit Strafe, dies das, das geht gar nicht! Vor allem nicht, weil ich eine Jahreskarte habe! Ich wohne in der Schweiz und arbeite in Österreich und habe meine Jahreskarte in der Schweiz gekauft! Das ist eine Frechheit, wie sich Ihre Ticketkontrolleure gegenüber Menschen verhalten, nur weil sie ein Jahresabo aus einem anderen Land nicht kennen!!! Schulen Sie bitte Ihre Kontrolleure, dass es Jahresabos von anderen Ländern gibt!",2025-07-28,1
Größte Frechheit dieses Unternehmen,"Größte Frechheit dieses Unternehmen

Wow jeder zweite Zug verspätet sich oder fällt aus",2025-07-28,1
